players_recieved,post_date,count
"DURZI, SEAN",2023-06-16,16
"KONECNY, TRAVIS",2023-06-08,16
2023 1ST (VAN),2023-05-26,16
"LAUGHTON, SCOTT",2023-05-25,16
2023 1ST (BOS),2023-06-01,16
"DEBRINCAT, ALEX ",2023-06-16,16
2023 1ST (BOS),2023-05-31,16
"DEBRINCAT, ALEX ",2023-06-11,16
2023 1ST (PIT),2023-06-19,16
"BOESER, BROCK",2023-06-05,15
"ARVIDSSON, VIKTOR",2023-06-15,15
"MURRAY, MATT",2023-06-08,15
"MURRAY, MATT",2023-05-23,15
2023 1ST (BUF),2023-06-16,15
"DURZI, SEAN",2023-05-21,15
"LAUGHTON, SCOTT",2023-06-07,15
"NECAS, MARTIN",2023-05-25,15
"GARLAND, CONOR",2023-06-10,15
2023 1ST (NYI),2023-06-08,15
2024 2ND (NYI),2023-05-09,15
2023 1ST (PIT),2023-06-09,15
2023 1ST (PIT),2023-06-13,15
2023 1ST (PIT),2023-06-16,15
"KELLER, CLAYTON",2023-05-31,15
2024 2ND (PIT),2023-06-09,15
2023 1ST (VAN),2023-06-05,15
"YAMAMOTO, KAILER",2023-06-12,15
"DUBOIS, PIERRE-LUC ",2023-05-15,15
"DUBOIS, PIERRE-LUC ",2023-05-16,15
"PESCE, BRETT",2023-05-29,15
"PEEKE, ANDREW",2023-06-10,15
2023 1ST (FLA),2023-06-15,15
"DUBOIS, PIERRE-LUC ",2023-06-20,15
"SHARANGOVICH, YEGOR ",2023-06-19,15
"KONECNY, TRAVIS",2023-05-13,15
"LAUGHTON, SCOTT",2023-06-16,15
"HANIFIN, NOAH",2023-06-12,15
2023 2ND (EDM),2023-06-08,15
"DEBRINCAT, ALEX ",2023-06-17,15
"DEBRINCAT, ALEX ",2023-06-13,15
2023 1ST (COL),2023-06-13,15
2023 1ST (COL),2023-06-01,15
"NYLANDER, WILLIAM",2023-05-22,15
"HELLEBUYCK, CONNOR",2023-06-13,15
"GARLAND, CONOR",2023-05-15,15
"GARLAND, CONOR",2023-05-23,15
"GARLAND, CONOR",2023-06-02,15
"MURRAY, MATT",2023-05-14,15
2024 2ND (OTT),2023-06-06,15
"LINDHOLM, ELIAS",2023-05-18,15
"MARNER, MITCHELL",2023-05-18,15
"GOODROW, BARCLAY",2023-05-22,15
"BAILEY, JOSH",2023-05-11,14
2023 1ST (PIT),2023-06-05,14
2023 1ST (BOS),2023-05-28,14
2023 1ST (FLA),2023-06-08,14
2023 1ST (PIT),2023-06-03,14
"HELLEBUYCK, CONNOR",2023-06-08,14
2024 1ST (LAK),2023-05-13,14
"LINDHOLM, ELIAS",2023-05-16,14
"HELLEBUYCK, CONNOR",2023-05-26,14
"MARNER, MITCHELL",2023-05-19,14
"LINDHOLM, ELIAS",2023-05-30,14
2023 1ST (VAN),2023-06-01,14
2023 1ST (BOS),2023-05-23,14
2023 1ST (VAN),2023-06-07,14
"MURRAY, MATT",2023-06-11,14
"DUBOIS, PIERRE-LUC ",2023-06-18,14
"HELLEBUYCK, CONNOR",2023-06-03,14
2023 1ST (VAN),2023-06-14,14
"HART, CARTER",2023-06-11,14
"CROUSE, LAWSON",2023-05-18,14
"MYERS, TYLER",2023-05-11,14
2024 2ND (PIT),2023-06-19,14
2024 2ND (PIT),2023-06-16,14
"MYERS, TYLER",2023-05-26,14
"MYERS, TYLER",2023-06-01,14
"HELLEBUYCK, CONNOR",2023-05-18,14
"EHLERS, NIKOLAJ",2023-05-02,14
"HART, CARTER",2023-05-29,14
"MYERS, TYLER",2023-06-08,14
2024 2ND (PIT),2023-06-07,14
"ARVIDSSON, VIKTOR",2023-05-20,14
"HELLEBUYCK, CONNOR",2023-06-19,14
2023 1ST (CAR),2023-06-05,14
2024 2ND (PIT),2023-06-06,14
"SCHMALTZ, NICK",2023-05-23,14
"DUBOIS, PIERRE-LUC ",2023-04-29,14
"DEBRINCAT, ALEX ",2023-06-20,14
"DUBOIS, PIERRE-LUC ",2023-05-17,14
"HELLEBUYCK, CONNOR",2023-05-30,14
"LAUGHTON, SCOTT",2023-05-17,14
"PETERSEN, CAL",2023-06-06,14
"GOODROW, BARCLAY",2023-05-24,14
